date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:16:29	14623/14623	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Oct%202018%2012:09:46%20GMT	https://herfybd.com/assets/js/modernizr.custom.js	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/js/modernizr.custom.js	(from https://herfybd.com/)
02:16:29	58870/58870	---M--	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202015%2010:36:44%20GMT	https://herfybd.com/assets/js/jquery.elevatezoom.js	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/js/jquery.elevatezoom.js	(from https://herfybd.com/)
02:16:29	8560/8560	---M--	200	added ('OK')	application/javascript	date:Fri,%2018%20May%202018%2013:09:46%20GMT	https://herfybd.com/assets/js/jquery.viewbox.js	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/js/jquery.viewbox.js	(from https://herfybd.com/)
02:16:30	253668/253668	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Dec%202018%2008:16:20%20GMT	https://herfybd.com/assets/js/jquery-ui.min.js	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/js/jquery-ui.min.js	(from https://herfybd.com/)
02:16:30	57384/57384	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20May%202019%2010:12:18%20GMT	https://herfybd.com/assets/js/jquery.flexslider.js	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/js/jquery.flexslider.js	(from https://herfybd.com/)
02:16:31	19267/19267	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Oct%202018%2012:09:42%20GMT	https://herfybd.com/assets/image/logo-classic.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/logo-classic.png	(from https://herfybd.com/)
02:16:31	19267/19267	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Oct%202018%2012:09:42%20GMT	https://herfybd.com/assets/image/logo.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/logo.png	(from https://herfybd.com/)
02:16:31	229178/229178	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:46%20GMT	https://herfybd.com/home.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/home.html	(from https://herfybd.com/)
02:16:31	172275/172275	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:46%20GMT	https://herfybd.com/menu.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/menu.html	(from https://herfybd.com/)
02:16:32	113251/113251	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:46%20GMT	https://herfybd.com/menu/burger.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/menu/burger.html	(from https://herfybd.com/)
02:16:32	79187/79187	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:46%20GMT	https://herfybd.com/menu/chickenitem.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/menu/chickenitem.html	(from https://herfybd.com/)
02:16:32	71558/71558	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:47%20GMT	https://herfybd.com/menu/kiddiemeal.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/menu/kiddiemeal.html	(from https://herfybd.com/)
02:16:32	68090/68090	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:47%20GMT	https://herfybd.com/menu/ricesalad.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/menu/ricesalad.html	(from https://herfybd.com/)
02:16:33	75386/75386	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:47%20GMT	https://herfybd.com/menu/sideswraps.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/menu/sideswraps.html	(from https://herfybd.com/)
02:16:33	61167/61167	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:47%20GMT	https://herfybd.com/menu/milkshakes.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/menu/milkshakes.html	(from https://herfybd.com/)
02:16:33	67964/67964	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:47%20GMT	https://herfybd.com/menu/mocktail.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/menu/mocktail.html	(from https://herfybd.com/)
02:16:33	69908/69908	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:48%20GMT	https://herfybd.com/menu/drinks.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/menu/drinks.html	(from https://herfybd.com/)
02:16:33	77795/77795	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:48%20GMT	https://herfybd.com/location.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/location.html	(from https://herfybd.com/)
02:16:34	68012/68012	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:48%20GMT	https://herfybd.com/gulshan.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/gulshan.html	(from https://herfybd.com/)
02:16:34	64789/64789	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:48%20GMT	https://herfybd.com/banani.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/banani.html	(from https://herfybd.com/)
02:16:34	64937/64937	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:49%20GMT	https://herfybd.com/uttara.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/uttara.html	(from https://herfybd.com/)
02:16:34	73274/73274	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:49%20GMT	https://herfybd.com/offer.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/offer.html	(from https://herfybd.com/)
02:16:35	122037/122037	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:49%20GMT	https://herfybd.com/about.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/about.html	(from https://herfybd.com/)
02:16:35	0/0	---MC-	301	error ('Moved%20Permanently')	application/cgi	date:Wed,%2030%20Sep%202020%2008:16:50%20GMT	http://herfybd.com/webmail	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/webmail.2c.delayed	(from https://herfybd.com/)
02:16:35	77294/77294	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:49%20GMT	https://herfybd.com/contact.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/contact.html	(from https://herfybd.com/)
02:16:36	16370/16370	---M--	200	added ('OK')	image/gif	date:Thu,%2020%20Dec%202018%2011:16:51%20GMT	https://herfybd.com//assets/image/homedelivery.gif	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/homedelivery.gif	(from https://herfybd.com/)
02:16:37	172369/172369	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Dec%202018%2006:12:58%20GMT	https://herfybd.com/assets/image/background-home-top.jpg	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/background-home-top.jpg	(from https://herfybd.com/)
02:16:37	14484/14484	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Oct%202018%2012:09:40%20GMT	https://herfybd.com/assets/image/burger_illustration_1.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/burger_illustration_1.png	(from https://herfybd.com/)
02:16:37	14811/14811	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Dec%202018%2007:03:54%20GMT	https://herfybd.com/assets/image/friedchicken.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/friedchicken.png	(from https://herfybd.com/)
02:16:37	14817/14817	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Oct%202018%2012:09:40%20GMT	https://herfybd.com/assets/image/burger_illustration_2.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/burger_illustration_2.png	(from https://herfybd.com/)
02:16:37	10648/10648	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Dec%202018%2007:03:41%20GMT	https://herfybd.com/assets/image/burger_illustration_3.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/burger_illustration_3.png	(from https://herfybd.com/)
02:16:38	22430/22430	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Dec%202018%2007:03:49%20GMT	https://herfybd.com/assets/image/french_fries_icon.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/french_fries_icon.png	(from https://herfybd.com/)
02:16:38	60859/60859	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:52%20GMT	https://herfybd.com/menu/icecream.ashx	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/menu/icecream.html	(from https://herfybd.com/)
02:16:38	13519/13519	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Dec%202018%2007:03:45%20GMT	https://herfybd.com/assets/image/burger_illustration_4.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/burger_illustration_4.png	(from https://herfybd.com/)
02:16:38	90004/90004	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:53%20GMT	https://herfybd.com/item/1	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/item/1.html	(from https://herfybd.com/)
02:16:39	30034/30034	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:33:04%20GMT	https://herfybd.com/assets/image/small/combo_big_herfy.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/small/combo_big_herfy.png	(from https://herfybd.com/)
02:16:39	88119/88119	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:53%20GMT	https://herfybd.com/item/6	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/item/6.html	(from https://herfybd.com/)
02:16:39	27882/27882	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:34:24%20GMT	https://herfybd.com/assets/image/small/combo_chicken_cheese.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/small/combo_chicken_cheese.png	(from https://herfybd.com/)
02:16:39	88135/88135	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:54%20GMT	https://herfybd.com/item/11	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/item/11.html	(from https://herfybd.com/)
02:16:39	29825/29825	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:37:26%20GMT	https://herfybd.com/assets/image/small/combo_grilled_chicken.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/small/combo_grilled_chicken.png	(from https://herfybd.com/)
02:16:39	88104/88104	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:54%20GMT	https://herfybd.com/item/10	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/item/10.html	(from https://herfybd.com/)
02:16:40	28740/28740	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:34:52%20GMT	https://herfybd.com/assets/image/small/combo_chilli_chicken.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/small/combo_chilli_chicken.png	(from https://herfybd.com/)
02:16:40	88792/88792	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:54%20GMT	https://herfybd.com/item/3	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/item/3.html	(from https://herfybd.com/)
02:16:40	28528/28528	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:33:50%20GMT	https://herfybd.com/assets/image/small/combo_cheese_burger.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/small/combo_cheese_burger.png	(from https://herfybd.com/)
02:16:40	87343/87343	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:55%20GMT	https://herfybd.com/item/2	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/item/2.html	(from https://herfybd.com/)
02:16:41	26830/26830	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:41:02%20GMT	https://herfybd.com/assets/image/small/combo_veggi_burger.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/small/combo_veggi_burger.png	(from https://herfybd.com/)
02:16:41	89683/89683	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:56%20GMT	https://herfybd.com/item/4	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/item/4.html	(from https://herfybd.com/)
02:16:41	154386/154386	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Oct%202018%2012:09:46%20GMT	https://herfybd.com/assets/uploads/background-offers-slider-bg.jpg	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/uploads/background-offers-slider-bg.jpg	(from https://herfybd.com/)
02:16:42	23262/23262	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Dec%202018%2011:18:47%20GMT	https://herfybd.com/assets/image/small/angus_burger_combo.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/small/angus_burger_combo.png	(from https://herfybd.com/)
02:16:42	91137/91137	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:57%20GMT	https://herfybd.com/item/7	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/item/7.html	(from https://herfybd.com/)
02:16:42	21289/21289	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Dec%202018%2011:18:50%20GMT	https://herfybd.com/assets/image/small/Super-Angus.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/small/Super-Angus.png	(from https://herfybd.com/)
02:16:43	90326/90326	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:57%20GMT	https://herfybd.com/item/5	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/item/5.html	(from https://herfybd.com/)
02:16:43	27715/27715	---M--	200	added ('OK')	image/png	date:Sun,%2009%20Dec%202018%2019:40:32%20GMT	https://herfybd.com/assets/image/small/combo_turky_burger.png	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/assets/image/small/combo_turky_burger.png	(from https://herfybd.com/)
02:16:43	88164/88164	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2008:16:57%20GMT	https://herfybd.com/item/16	C:/My%20Web%20Sites/Md%20Rabby/herfybd.com/item/16.html	(from https://herfybd.com/)
